Gene stable ID	Transcript stable ID	Gene name	Transcription start site (TSS)	Gene start (bp)	Gene end (bp)	NCBI gene (formerly Entrezgene) ID	Chromosome/scaffold name
ENSACLG00000011605	ENSACLT00000017462	dnase1	38386989	38384028	38386989		12
ENSACLG00000011606	ENSACLT00000017454		19703059	19700659	19703059	113031515	11
ENSACLG00000011607	ENSACLT00000017460		20308448	20308448	20313394		3
ENSACLG00000011608	ENSACLT00000017463		223914	222070	223914		LS419793.1
ENSACLG00000011609	ENSACLT00000017512		1544334	1513189	1544334		14
ENSACLG00000011609	ENSACLT00000017540		1520023	1513189	1544334		14
ENSACLG00000011610	ENSACLT00000017458		14033524	14033524	14034161		14
ENSACLG00000011611	ENSACLT00000017473		23752707	23752707	23758386		23
ENSACLG00000011612	ENSACLT00000017483		24027737	24010209	24027737		15
ENSACLG00000011613	ENSACLT00000017500	olfcu1	14064373	14064373	14069532		14
ENSACLG00000011614	ENSACLT00000017471		20435783	20431570	20435783		3
ENSACLG00000011615	ENSACLT00000018388		10317509	10317509	10318196	113020510	4
ENSACLG00000011615	ENSACLT00000018388		10317509	10317509	10318196	113020511	4
ENSACLG00000011616	ENSACLT00000017479	STEEP1	66972385	66969008	66972385		7
ENSACLG00000011617	ENSACLT00000017478		13081389	13081389	13085503	113015327	22
ENSACLG00000011618	ENSACLT00000017480	dnase1	38413357	38410396	38413357	113033041	12
ENSACLG00000011619	ENSACLT00000017482		33995651	33992312	33995651		3
ENSACLG00000011620	ENSACLT00000017497	zgc:171775	17813744	17797772	17813744	113013098	20
ENSACLG00000011620	ENSACLT00000017532	zgc:171775	17813270	17797772	17813744	113013098	20
ENSACLG00000011621	ENSACLT00000017504	coq8b	30464808	30448016	30464808	113036685	14
ENSACLG00000011622	ENSACLT00000017485	saal1	53542009	53530714	53542009	113026648	7
ENSACLG00000011623	ENSACLT00000017487		66974007	66973492	66974007		7
ENSACLG00000011624	ENSACLT00000017484	mettl22	38439412	38439412	38464721	113033663	12
ENSACLG00000011625	ENSACLT00000017494	fabp7a	19809723	19809723	19814705	113012002	19
ENSACLG00000011626	ENSACLT00000017506	KCNIP3	10897348	10842516	10897348	113033250	12
ENSACLG00000011626	ENSACLT00000017515	KCNIP3	10860436	10842516	10897348	113033250	12
ENSACLG00000011627	ENSACLT00000017498		34004307	33995315	34004307		3
ENSACLG00000011628	ENSACLT00000017490		239056	232048	239056		LS419793.1
ENSACLG00000011629	ENSACLT00000017489	rdh1	19936970	19929729	19936970	113007341	16
ENSACLG00000011630	ENSACLT00000017509		22996801	22996801	23003874		4
ENSACLG00000011630	ENSACLT00000017519		22996801	22996801	23003874		4
ENSACLG00000011631	ENSACLT00000017517	cndp2	13090118	13090118	13098763	113015333	22
ENSACLG00000011632	ENSACLT00000017502	sc5d	66979378	66979378	66983984	113027168	7
ENSACLG00000011633	ENSACLT00000017492	COX7A2	24045109	24039462	24045109		15
ENSACLG00000011634	ENSACLT00000017493	LRRC3	23832262	23831474	23832262	113015573	23
ENSACLG00000011635	ENSACLT00000017495		342462	336845	342462		LS419793.1
ENSACLG00000011636	ENSACLT00000017505		2461894	2461222	2461894		20
ENSACLG00000011637	ENSACLT00000017499		420363	420363	425850		LS419793.1
ENSACLG00000011638	ENSACLT00000017503		34478691	34474587	34478691		11
ENSACLG00000011639	ENSACLT00000017514		2864011	2851393	2864011	113012538	19
ENSACLG00000011639	ENSACLT00000017530		2855607	2851393	2864011	113012538	19
ENSACLG00000011640	ENSACLT00000017501		19825951	19825951	19830156		19
ENSACLG00000011641	ENSACLT00000017513	tmem30ab	24051640	24047230	24051640	113037120	15
ENSACLG00000011642	ENSACLT00000017518		469765	456990	469765		LS419793.1
ENSACLG00000011643	ENSACLT00000017534	gspt1l	38464519	38464519	38489340	113033574	12
ENSACLG00000011643	ENSACLT00000017542	gspt1l	38464742	38464519	38489340	113033574	12
ENSACLG00000011644	ENSACLT00000017520	dhrs9	19942829	19936285	19942829	113007342	16
ENSACLG00000011644	ENSACLT00000017523	dhrs9	19941989	19936285	19942829	113007342	16
ENSACLG00000011645	ENSACLT00000017511		19830918	19830918	19837904		19
ENSACLG00000011646	ENSACLT00000017528		34050733	33998156	34050733		3
ENSACLG00000011647	ENSACLT00000017539		53550506	53550506	53553444		7
ENSACLG00000011648	ENSACLT00000017524		14100314	14100314	14106289		14
ENSACLG00000011649	ENSACLT00000017510	anapc13	66985838	66984703	66985838	113027170	7
ENSACLG00000011650	ENSACLT00000017507	dnajc28	34521300	34521300	34522451	113032698	11
ENSACLG00000011651	ENSACLT00000017508		11773997	11773997	11774061		10
ENSACLG00000011652	ENSACLT00000017604		2521685	2495678	2521685		20
ENSACLG00000011653	ENSACLT00000017525	arhgap35b	11785633	11776057	11785633	113030215	10
ENSACLG00000011654	ENSACLT00000017533		34527636	34524574	34527636		11
ENSACLG00000011655	ENSACLT00000017521		66987792	66987792	66993025		7
ENSACLG00000011656	ENSACLT00000017522		19849103	19842851	19849103	113012209	19
ENSACLG00000011656	ENSACLT00000017535		19846142	19842851	19849103	113012209	19
ENSACLG00000011657	ENSACLT00000017516	FBXO46	30467460	30467460	30480851	113035936	14
ENSACLG00000011658	ENSACLT00000017526		469217	466822	469217		LS419793.1
ENSACLG00000011659	ENSACLT00000017544	adsl	23013110	23013110	23019892		4
ENSACLG00000011660	ENSACLT00000017551	rspry1	66988941	66988941	67007174	113027171	7
ENSACLG00000011660	ENSACLT00000017577	rspry1	66989763	66988941	67007174	113027171	7
ENSACLG00000011661	ENSACLT00000017536	pcna	10919868	10916190	10919868	113034232	12
ENSACLG00000011662	ENSACLT00000017543	slc5a2	30489172	30478730	30489172		14
ENSACLG00000011663	ENSACLT00000017529	filip1b	24107564	24053202	24107564	113037119	15
ENSACLG00000011663	ENSACLT00000017537	filip1b	24107564	24053202	24107564	113037119	15
ENSACLG00000011664	ENSACLT00000017531		477559	477559	479232	113017231	LS419793.1
ENSACLG00000011665	ENSACLT00000017541		14126660	14126660	14130447	113037012	14
ENSACLG00000011666	ENSACLT00000017559	abcb11a	19948208	19948208	19957129	113008200	16
ENSACLG00000011666	ENSACLT00000017562	abcb11a	19948268	19948208	19957129	113008200	16
ENSACLG00000011667	ENSACLT00000017538		505528	505528	509577		LS419793.1
ENSACLG00000011668	ENSACLT00000019650		19708243	19704640	19709354		11
ENSACLG00000011668	ENSACLT00000020242		19709354	19704640	19709354		11
ENSACLG00000011668	ENSACLT00000021501		19708967	19704640	19709354		11
ENSACLG00000011668	ENSACLT00000021682		19708906	19704640	19709354		11
ENSACLG00000011668	ENSACLT00000021703		19708744	19704640	19709354		11
ENSACLG00000011668	ENSACLT00000022817		19708245	19704640	19709354		11
ENSACLG00000011668	ENSACLT00000022829		19707927	19704640	19709354		11
ENSACLG00000011668	ENSACLT00000023672		19707852	19704640	19709354		11
ENSACLG00000011668	ENSACLT00000023772		19707852	19704640	19709354		11
ENSACLG00000011668	ENSACLT00000023792		19707734	19704640	19709354		11
ENSACLG00000011669	ENSACLT00000017546		34013511	34009059	34013511		3
ENSACLG00000011670	ENSACLT00000017545	si:ch211-225p5.8	34535336	34530978	34535336	113032689	11
ENSACLG00000011671	ENSACLT00000017552	fyna	19870448	19847453	19870448	113012164	19
ENSACLG00000011671	ENSACLT00000017561	fyna	19861040	19847453	19870448	113012164	19
ENSACLG00000011672	ENSACLT00000017554	zgc:152830	10929788	10922424	10929788	113033541	12
ENSACLG00000011673	ENSACLT00000017575		53564755	53564755	53569110		7
ENSACLG00000011674	ENSACLT00000017555	ilkap	1574896	1574896	1580108		14
ENSACLG00000011675	ENSACLT00000017549	si:dkey-260j18.2	30500243	30494494	30500243	113036485	14
ENSACLG00000011675	ENSACLT00000017553	si:dkey-260j18.2	30499406	30494494	30500243	113036485	14
ENSACLG00000011676	ENSACLT00000017556	zgc:123244	23024777	23024777	23030720	113020054	4
ENSACLG00000011677	ENSACLT00000017547		38490840	38490840	38491355	113033632	12
ENSACLG00000011678	ENSACLT00000017557		14141351	14141351	14144934		14
ENSACLG00000011679	ENSACLT00000017581	gramd1a	34551883	34551883	34580768		11
ENSACLG00000011679	ENSACLT00000017607	gramd1a	34560925	34551883	34580768		11
ENSACLG00000011680	ENSACLT00000017558		34044827	34039728	34044827		3
ENSACLG00000011681	ENSACLT00000017569	rrn3	38521892	38521892	38547272	113033662	12
ENSACLG00000011681	ENSACLT00000017601	rrn3	38522486	38521892	38547272	113033662	12
ENSACLG00000011682	ENSACLT00000017612	XPO5	15165835	15165835	15180400		13
ENSACLG00000011683	ENSACLT00000017560	sars2	30500388	30500388	30508332	113036486	14
ENSACLG00000011684	ENSACLT00000017642	zgc:162872	1582100	1582100	1591101	113036327	14
ENSACLG00000011684	ENSACLT00000017711	zgc:162872	1582125	1582100	1591101	113036327	14
ENSACLG00000011685	ENSACLT00000017591	marcksb	19874351	19874351	19877145	113012078	19
ENSACLG00000011686	ENSACLT00000017576	FAHD2A	10931703	10931703	10941912	113033542	12
ENSACLG00000011687	ENSACLT00000017645	ephb4b	13385	13385	32525		LS419840.1
ENSACLG00000011687	ENSACLT00000017667	ephb4b	13515	13385	32525		LS419840.1
ENSACLG00000011688	ENSACLT00000017565	pdgfbb	23057357	23057357	23069390	113021108	4
ENSACLG00000011689	ENSACLT00000017659		14150310	14150310	14158297		14
ENSACLG00000011689	ENSACLT00000017735		14152934	14150310	14158297		14
ENSACLG00000011690	ENSACLT00000017620		6554705	6548924	6554753		11
ENSACLG00000011690	ENSACLT00000017644		6554753	6548924	6554753		11
ENSACLG00000011691	ENSACLT00000017563	mmachc	6325953	6325953	6331697	113016166	23
ENSACLG00000011692	ENSACLT00000017566	kdm6a	3494553	3440853	3494553	113008235	16
ENSACLG00000011692	ENSACLT00000017594	kdm6a	3494553	3440853	3494553	113008235	16
ENSACLG00000011692	ENSACLT00000017647	kdm6a	3494553	3440853	3494553	113008235	16
ENSACLG00000011693	ENSACLT00000017587		30521767	30513536	30521767	113036555	14
ENSACLG00000011693	ENSACLT00000017610		30521542	30513536	30521767	113036555	14
ENSACLG00000011694	ENSACLT00000017564	ndfip1l	21278472	21270635	21278472	113030647	10
ENSACLG00000011694	ENSACLT00000017568	ndfip1l	21278472	21270635	21278472	113030647	10
ENSACLG00000011695	ENSACLT00000017574		34062372	34052505	34062372		3
ENSACLG00000011696	ENSACLT00000017579		29892268	29892268	29899597		2
ENSACLG00000011697	ENSACLT00000017567	si:dkey-52j6.3	6379328	6362323	6379328	113016154	23
ENSACLG00000011698	ENSACLT00000017572		27593166	27576488	27593166	113014532	22
ENSACLG00000011699	ENSACLT00000017571	xkr6b	7114706	7043678	7114706	113037465	15
ENSACLG00000011700	ENSACLT00000017583	endou2	21288216	21284190	21288216	113030667	10
ENSACLG00000011701	ENSACLT00000017573		5245401	5235834	5245401	113023644	6
ENSACLG00000011702	ENSACLT00000017975	echdc2	6386709	6386709	6392039	113016153	23
ENSACLG00000011702	ENSACLT00000018003	echdc2	6386947	6386709	6392039	113016153	23
ENSACLG00000011703	ENSACLT00000017592		24709355	24709355	24912522		18
ENSACLG00000011704	ENSACLT00000017671	rxfp1	6297712	6297712	6373640		2
ENSACLG00000011705	ENSACLT00000017578		521072	521072	525646		LS419793.1
ENSACLG00000011706	ENSACLT00000017582		23082451	23073730	23082451	113021109	4
ENSACLG00000011707	ENSACLT00000017586		34060053	34057679	34060053		3
ENSACLG00000011708	ENSACLT00000017580	mtmr9	7121495	7121495	7137506	113037412	15
ENSACLG00000011708	ENSACLT00000017608	mtmr9	7121495	7121495	7137506	113037412	15
ENSACLG00000011709	ENSACLT00000017585		27599165	27599165	27600070		22
ENSACLG00000011710	ENSACLT00000017596		586197	554038	586197		LS419793.1
ENSACLG00000011711	ENSACLT00000017668		53588014	53588014	53592346		7
ENSACLG00000011712	ENSACLT00000017595		29897170	29897170	29900304		2
ENSACLG00000011713	ENSACLT00000017624	arl2bp	67006901	67006901	67011068	113027173	7
ENSACLG00000011713	ENSACLT00000017630	arl2bp	67007529	67006901	67011068	113027173	7
ENSACLG00000011714	ENSACLT00000017589		27714103	27677649	27714103		22
ENSACLG00000011715	ENSACLT00000017590	G6PC2	19960192	19958368	19960192	113008138	16
ENSACLG00000011716	ENSACLT00000017588		25224698	25065001	25224698		1
ENSACLG00000011716	ENSACLT00000017593		25176972	25065001	25224698		1
ENSACLG00000011716	ENSACLT00000017611		25133019	25065001	25224698		1
ENSACLG00000011717	ENSACLT00000017641		34064772	34063693	34064772		3
ENSACLG00000011718	ENSACLT00000017646	rnf14	21296339	21288894	21296339	113030666	10
ENSACLG00000011719	ENSACLT00000017621		18356099	18351537	18356099		6
ENSACLG00000011720	ENSACLT00000017622	ralyl	12561347	12561347	12617509		18
ENSACLG00000011721	ENSACLT00000017597		15466428	15466428	15500115		5
ENSACLG00000011721	ENSACLT00000017616		15466428	15466428	15500115		5
ENSACLG00000011722	ENSACLT00000017599	kcnq1.1	7621566	7576017	7621566	113018392	1
ENSACLG00000011723	ENSACLT00000017598		1592369	1516414	1592369	113014752	22
ENSACLG00000011724	ENSACLT00000017600	rexo1	37751812	37751812	37766058	113009137	17
ENSACLG00000011725	ENSACLT00000017772		24635207	24635207	24645482		12
ENSACLG00000011725	ENSACLT00000017836		24637679	24635207	24645482		12
ENSACLG00000011725	ENSACLT00000017918		24637679	24635207	24645482		12
ENSACLG00000011726	ENSACLT00000017669	ASS1	21238890	21238890	21271433		7
ENSACLG00000011726	ENSACLT00000017692	ASS1	21238890	21238890	21271433		7
ENSACLG00000011727	ENSACLT00000017696	myo1ca	11798225	11798225	11806543		10
ENSACLG00000011728	ENSACLT00000017602	spc25	19962897	19962897	19965530	113008139	16
ENSACLG00000011728	ENSACLT00000017615	spc25	19962897	19962897	19965530	113008139	16
ENSACLG00000011729	ENSACLT00000017640		29901807	29901807	29906550		2
ENSACLG00000011730	ENSACLT00000017603	JUP	33183731	33183731	33365125	113021483	4
ENSACLG00000011730	ENSACLT00000017625	JUP	33183731	33183731	33365125	113021483	4
ENSACLG00000011730	ENSACLT00000017635	JUP	33292630	33183731	33365125	113021483	4
ENSACLG00000011730	ENSACLT00000017687	JUP	33292630	33183731	33365125	113021483	4
ENSACLG00000011731	ENSACLT00000017637		567256	567256	572089		LS419793.1
ENSACLG00000011732	ENSACLT00000017606		5259090	5249576	5259090	113023645	6
ENSACLG00000011733	ENSACLT00000017689	rhot2	14369646	14369646	14378216	113028487	8
ENSACLG00000011734	ENSACLT00000017605		1658618	1658618	1717404	113014402	22
ENSACLG00000011734	ENSACLT00000017614		1658618	1658618	1717404	113014402	22
ENSACLG00000011734	ENSACLT00000017628		1658618	1658618	1717404	113014402	22
ENSACLG00000011734	ENSACLT00000017631		1658618	1658618	1717404	113014402	22
ENSACLG00000011734	ENSACLT00000017670		1658618	1658618	1717404	113014402	22
ENSACLG00000011734	ENSACLT00000017680		1658618	1658618	1717404	113014402	22
ENSACLG00000011735	ENSACLT00000017609	col10a1a	19884998	19879962	19884998	113012633	19
ENSACLG00000011735	ENSACLT00000017613	col10a1a	19884998	19879962	19884998	113012633	19
ENSACLG00000011736	ENSACLT00000017654	zbtb41	24711913	24711913	24727608		18
ENSACLG00000011737	ENSACLT00000017639		38604097	38602154	38604097	113034007	12
ENSACLG00000011738	ENSACLT00000017655	cndp2	13113074	13113074	13121246	113015335	22
ENSACLG00000011739	ENSACLT00000017623	plxnb1a	17862222	17862222	17913790	113013095	20
ENSACLG00000011739	ENSACLT00000017681	plxnb1a	17862222	17862222	17913790	113013095	20
ENSACLG00000011740	ENSACLT00000017617	lingo1b	7699388	7678634	7699388	113018480	1
ENSACLG00000011741	ENSACLT00000017618	zgc:101100	37772445	37772445	37775355	113009666	17
ENSACLG00000011742	ENSACLT00000017619	pvalb6	23091027	23091027	23146747	113021110	4
ENSACLG00000011742	ENSACLT00000017638	pvalb6	23142101	23091027	23146747	113021110	4
ENSACLG00000011743	ENSACLT00000017627	scn1ba	34601187	34585055	34601187	113032865	11
ENSACLG00000011744	ENSACLT00000017723	si:ch211-266g18.9	19908180	19900041	19912589		19
ENSACLG00000011744	ENSACLT00000017741	si:ch211-266g18.9	19908180	19900041	19912589		19
ENSACLG00000011744	ENSACLT00000017779	si:ch211-266g18.9	19912589	19900041	19912589		19
ENSACLG00000011745	ENSACLT00000017652	psma6l	30521788	30521788	30527638	113036556	14
ENSACLG00000011745	ENSACLT00000017676	psma6l	30521925	30521788	30527638	113036556	14
ENSACLG00000011746	ENSACLT00000017626	tdh	7137527	7137527	7145860	113037413	15
ENSACLG00000011746	ENSACLT00000017643	tdh	7139739	7137527	7145860	113037413	15
ENSACLG00000011747	ENSACLT00000017867	ITPR3	2604427	2533687	2604427		20
ENSACLG00000011748	ENSACLT00000017686	nostrin	19971981	19966124	19971981		16
ENSACLG00000011749	ENSACLT00000017629	spata17	25333113	25333113	25382182	113024425	1
ENSACLG00000011749	ENSACLT00000017634	spata17	25333113	25333113	25382182	113024425	1
ENSACLG00000011749	ENSACLT00000017688	spata17	25333190	25333113	25382182	113024425	1
ENSACLG00000011750	ENSACLT00000017648		15190944	15190944	15193547		13
ENSACLG00000011751	ENSACLT00000017632		5316164	5267521	5316164	113023648	6
ENSACLG00000011751	ENSACLT00000017677		5316164	5267521	5316164	113023648	6
ENSACLG00000011752	ENSACLT00000017653	tyrp1b	18462534	18462534	18467268		6
ENSACLG00000011753	ENSACLT00000017633	lrrcc1	12622885	12622885	12641761	113010927	18
ENSACLG00000011754	ENSACLT00000017683	csnk1g2b	37778754	37778754	37817800	113009664	17
ENSACLG00000011754	ENSACLT00000017712	csnk1g2b	37778754	37778754	37817800	113009664	17
ENSACLG00000011754	ENSACLT00000017736	csnk1g2b	37778754	37778754	37817800	113009664	17
ENSACLG00000011755	ENSACLT00000017702		15507672	15507672	15510483		5
ENSACLG00000011755	ENSACLT00000017777		15507675	15507672	15510483		5
ENSACLG00000011755	ENSACLT00000017813		15507678	15507672	15510483		5
ENSACLG00000011756	ENSACLT00000017636	pllp	67017712	67007642	67017712	113027172	7
ENSACLG00000011757	ENSACLT00000017649		604021	597572	604021		LS419793.1
ENSACLG00000011758	ENSACLT00000017651		29908282	29908282	29910781		2
ENSACLG00000011759	ENSACLT00000017662		34069373	34065126	34069373		3
ENSACLG00000011760	ENSACLT00000017656		38643692	38643692	38647322		12
ENSACLG00000011761	ENSACLT00000017657		15204394	15204394	15204454		13
ENSACLG00000011762	ENSACLT00000017650		6579451	6579451	6581385	113032392	11
ENSACLG00000011763	ENSACLT00000017666	baiap2l2a	23168999	23148755	23168999	113021111	4
ENSACLG00000011764	ENSACLT00000017663	pinx1	7149613	7149613	7172633	113006373	15
ENSACLG00000011765	ENSACLT00000017658	dclk2b	636393	615316	636393	113017214	LS419793.1
ENSACLG00000011766	ENSACLT00000017665		29911946	29911946	29915108		2
ENSACLG00000011767	ENSACLT00000017660		24721632	24720610	24721632		18
ENSACLG00000011768	ENSACLT00000017661	MIR216A	15204970	15204970	15205042		13
ENSACLG00000011769	ENSACLT00000017664	MIR217	15205553	15205553	15205611		13
ENSACLG00000011770	ENSACLT00000017701	cndp2	13127141	13127141	13132295	113015336	22
ENSACLG00000011771	ENSACLT00000017737	hspa4a	21312787	21300580	21312787	113030435	10
ENSACLG00000011771	ENSACLT00000017754	hspa4a	21312200	21300580	21312787	113030435	10
ENSACLG00000011772	ENSACLT00000017698		18488558	18468384	18488558		6
ENSACLG00000011772	ENSACLT00000017720		18486094	18468384	18488558		6
ENSACLG00000011773	ENSACLT00000017679		24732683	24730309	24732683		18
ENSACLG00000011774	ENSACLT00000017675		29916453	29916453	29919793		2
ENSACLG00000011775	ENSACLT00000017673	tgm2l	67029176	67018916	67031421	113027174	7
ENSACLG00000011775	ENSACLT00000017707	tgm2l	67028769	67018916	67031421	113027174	7
ENSACLG00000011775	ENSACLT00000017773	tgm2l	67031421	67018916	67031421	113027174	7
ENSACLG00000011776	ENSACLT00000017672		23793	18838	23793		17
ENSACLG00000011777	ENSACLT00000017678		6613990	6613990	6617402		11
ENSACLG00000011778	ENSACLT00000017674		24854	23814	24854		17
ENSACLG00000011779	ENSACLT00000017684		53595515	53595515	53603159		7
ENSACLG00000011780	ENSACLT00000017704	CDH18	25579238	25379916	25579238	113029339	9
ENSACLG00000011781	ENSACLT00000017682		45031	38944	45031		17
ENSACLG00000011782	ENSACLT00000017700		649841	643367	649841		LS419793.1
ENSACLG00000011783	ENSACLT00000017685	sox7	7174533	7174533	7178053	113006372	15
ENSACLG00000011784	ENSACLT00000017697		29920372	29920372	29923678		2
ENSACLG00000011785	ENSACLT00000017694		30539798	30539798	30547353	113036521	14
ENSACLG00000011786	ENSACLT00000017691	e2f5	12642716	12642716	12652660	113010824	18
ENSACLG00000011786	ENSACLT00000017714	e2f5	12642716	12642716	12652660	113010824	18
ENSACLG00000011787	ENSACLT00000017690		6680930	6679511	6680930		11
ENSACLG00000011788	ENSACLT00000017719		24749113	24745593	24749113		18
ENSACLG00000011789	ENSACLT00000017695		62166	62166	62444		17
ENSACLG00000011790	ENSACLT00000017693	nptxra	23174393	23174393	23182486	113021112	4
ENSACLG00000011791	ENSACLT00000017783		53611821	53611821	53617278		7
ENSACLG00000011792	ENSACLT00000017699		7190629	7190629	7209519	113006874	15
ENSACLG00000011793	ENSACLT00000017715		6698275	6698275	6713858		11
ENSACLG00000011794	ENSACLT00000017703		25348762	25348701	25348762		1
ENSACLG00000011795	ENSACLT00000017705	cers6	19995161	19974621	19995161		16
ENSACLG00000011796	ENSACLT00000017706		106840	105167	106840	113018175	LS419840.1
ENSACLG00000011797	ENSACLT00000017713		29924043	29924043	29926569		2
ENSACLG00000011798	ENSACLT00000017816		89164	67615	89164		17
ENSACLG00000011799	ENSACLT00000017710		2889303	2864157	2889303	113012138	19
ENSACLG00000011800	ENSACLT00000017708		30573677	30566587	30573677	113027683	14
ENSACLG00000011800	ENSACLT00000017708		30573677	30566587	30573677	113028495	14
ENSACLG00000011800	ENSACLT00000017708		30573677	30566587	30573677	113031107	14
ENSACLG00000011800	ENSACLT00000017708		30573677	30566587	30573677	113031109	14
ENSACLG00000011800	ENSACLT00000017708		30573677	30566587	30573677	113031110	14
ENSACLG00000011800	ENSACLT00000017708		30573677	30566587	30573677	113035788	14
ENSACLG00000011800	ENSACLT00000017708		30573677	30566587	30573677	113035789	14
ENSACLG00000011800	ENSACLT00000017718		30573677	30566587	30573677	113027683	14
ENSACLG00000011800	ENSACLT00000017718		30573677	30566587	30573677	113028495	14
ENSACLG00000011800	ENSACLT00000017718		30573677	30566587	30573677	113031107	14
ENSACLG00000011800	ENSACLT00000017718		30573677	30566587	30573677	113031109	14
ENSACLG00000011800	ENSACLT00000017718		30573677	30566587	30573677	113031110	14
ENSACLG00000011800	ENSACLT00000017718		30573677	30566587	30573677	113035788	14
ENSACLG00000011800	ENSACLT00000017718		30573677	30566587	30573677	113035789	14
ENSACLG00000011800	ENSACLT00000017726		30570294	30566587	30573677	113027683	14
ENSACLG00000011800	ENSACLT00000017726		30570294	30566587	30573677	113028495	14
ENSACLG00000011800	ENSACLT00000017726		30570294	30566587	30573677	113031107	14
ENSACLG00000011800	ENSACLT00000017726		30570294	30566587	30573677	113031109	14
ENSACLG00000011800	ENSACLT00000017726		30570294	30566587	30573677	113031110	14
ENSACLG00000011800	ENSACLT00000017726		30570294	30566587	30573677	113035788	14
ENSACLG00000011800	ENSACLT00000017726		30570294	30566587	30573677	113035789	14
ENSACLG00000011801	ENSACLT00000017727		665271	659651	665271		LS419793.1
ENSACLG00000011802	ENSACLT00000017717	odf2a	6291802	6275027	6291802	113025217	7
ENSACLG00000011803	ENSACLT00000017747	etfdh	6396344	6396344	6412100	113030984	2
ENSACLG00000011804	ENSACLT00000017709		13137460	13134193	13137460	113015331	22
ENSACLG00000011805	ENSACLT00000017740		23215396	23215396	23232416	113021114	4
ENSACLG00000011806	ENSACLT00000017722		11808507	11807352	11808507	113030217	10
ENSACLG00000011807	ENSACLT00000017716	blk	7219400	7219400	7232180	113006783	15
ENSACLG00000011808	ENSACLT00000017725		29928023	29928023	29930692		2
ENSACLG00000011809	ENSACLT00000017728		5339446	5335946	5339446		6
ENSACLG00000011810	ENSACLT00000017932	cndp2	13141770	13141770	13147418	113015342	22
ENSACLG00000011811	ENSACLT00000017721	ARL4D	33396036	33391899	33396036	113021505	4
ENSACLG00000011812	ENSACLT00000017724	prss1	6720438	6719033	6720438	113032525	11
ENSACLG00000011813	ENSACLT00000017753	wdr74	1595597	1593686	1595597	113036328	14
ENSACLG00000011814	ENSACLT00000017746		3494853	3494853	3500720	113008237	16
ENSACLG00000011814	ENSACLT00000017755		3496022	3494853	3500720	113008237	16
ENSACLG00000011815	ENSACLT00000017733		2900401	2900401	2902017		19
ENSACLG00000011816	ENSACLT00000017732	stk39	19996819	19996819	20028433	113008092	16
ENSACLG00000011817	ENSACLT00000017734		25617077	25617077	25617679		9
ENSACLG00000011818	ENSACLT00000017730		24815961	24750384	24817603	113010630	18
ENSACLG00000011818	ENSACLT00000017784		24817603	24750384	24817603	113010630	18
ENSACLG00000011818	ENSACLT00000017799		24815961	24750384	24817603	113010630	18
ENSACLG00000011819	ENSACLT00000017739	fubp3	21284893	21284893	21314872		7
ENSACLG00000011820	ENSACLT00000017731		11818802	11818802	11824923	113030520	10
ENSACLG00000011821	ENSACLT00000017803	h1-0	14381822	14381229	14381822	113028491	8
ENSACLG00000011822	ENSACLT00000017729	ackr4a	12657268	12656162	12657268	113010823	18
ENSACLG00000011823	ENSACLT00000017789		51224	44752	53099		LS419841.1
ENSACLG00000011823	ENSACLT00000017820		53099	44752	53099		LS419841.1
ENSACLG00000011824	ENSACLT00000017767	psmc4	34626838	34626838	34636349	113032308	11
ENSACLG00000011825	ENSACLT00000017765		29931578	29931578	29934320		2
ENSACLG00000011826	ENSACLT00000017770		691714	687150	691714		LS419793.1
ENSACLG00000011827	ENSACLT00000017750	si:ch211-106h4.9	12704574	12704574	12806121		18
ENSACLG00000011827	ENSACLT00000017781	si:ch211-106h4.9	12704574	12704574	12806121		18
ENSACLG00000011828	ENSACLT00000017808	celf4	26677436	26677436	26764997	113022763	5
ENSACLG00000011828	ENSACLT00000017831	celf4	26681284	26677436	26764997	113022763	5
ENSACLG00000011828	ENSACLT00000017873	celf4	26681284	26677436	26764997	113022763	5
ENSACLG00000011829	ENSACLT00000017745	si:ch211-261d7.3	6725249	6725249	6727547		11
ENSACLG00000011830	ENSACLT00000017804	AXIN2	5463707	5463707	5480276	113023649	6
ENSACLG00000011830	ENSACLT00000017838	AXIN2	5464495	5463707	5480276	113023649	6
ENSACLG00000011831	ENSACLT00000017818		27842037	27819133	27842037		22
ENSACLG00000011832	ENSACLT00000017738	nop53	30575458	30575458	30585837	113036510	14
ENSACLG00000011833	ENSACLT00000017744	si:dkey-177p2.6	2913964	2913158	2913964	113012418	19
ENSACLG00000011834	ENSACLT00000017742		64662	57289	64662		13
ENSACLG00000011835	ENSACLT00000017743		23877599	23849537	23877599	113016282	23
ENSACLG00000011836	ENSACLT00000017752	fndc4a	7242514	7242514	7264994	113007025	15
ENSACLG00000011837	ENSACLT00000017766	cdca4	2922847	2921921	2922847		19
ENSACLG00000011838	ENSACLT00000017941	stag2a	11824944	11824944	11850237	113031082	10
ENSACLG00000011838	ENSACLT00000017995	stag2a	11825220	11824944	11850237	113031082	10
ENSACLG00000011839	ENSACLT00000017748	zgc:66448	6728803	6728803	6735581	113032127	11
ENSACLG00000011840	ENSACLT00000017769		235925	80338	235925		13
ENSACLG00000011841	ENSACLT00000017825		14165285	14165285	14173209		14
ENSACLG00000011841	ENSACLT00000017868		14166969	14165285	14173209		14
ENSACLG00000011842	ENSACLT00000017751		23904066	23904066	23969457	113016113	23
